,id,datetime,club_home,club_away,goal_home,goal_away,result,result_away,xG,xGA,xPoints,xPointsAway
0,13977,2020-08-21 17:00:00,Bordeaux,Nantes,0,0,1,1,0.600075,0.187821,1.8613,0.6994
1,13978,2020-08-22 15:00:00,Dijon,Angers,0,1,0,3,0.739709,2.02214,0.42169999999999996,2.3819000000000004
2,13979,2020-08-22 19:00:00,Lille,Rennes,1,1,1,1,0.400974,1.29518,0.5357,2.1838999999999995
3,13982,2020-08-23 11:00:00,Monaco,Reims,2,2,1,1,2.67622,1.83257,1.9379000000000002,0.8591
4,13980,2020-08-23 13:00:00,Lorient,Strasbourg,3,1,3,0,3.07214,0.326826,2.9185,0.04870000000000001
5,13985,2020-08-23 13:00:00,Nimes,Brest,4,0,3,0,2.14597,0.468011,2.5644,0.2919
6,13984,2020-08-23 15:00:00,Nice,Lens,2,1,3,0,0.180464,3.03614,0.020300000000000002,2.9621
7,13990,2020-08-28 19:00:00,Lyon,Dijon,4,1,3,0,3.97148,0.215658,2.9778000000000002,0.012899999999999998
8,13994,2020-08-29 15:00:00,Rennes,Montpellier,2,1,3,0,1.78715,0.491784,2.3509,0.4501
9,13996,2020-08-29 19:00:00,Strasbourg,Nice,0,2,0,3,0.227899,1.20894,0.3312,2.4486000000000003
10,13993,2020-08-30 11:00:00,Reims,Lille,0,1,0,3,0.206627,0.906784,0.5942000000000001,2.0387000000000004
11,13987,2020-08-30 13:00:00,Angers,Bordeaux,0,2,0,3,0.511549,2.28529,0.24159999999999998,2.6329000000000002
12,13991,2020-08-30 13:00:00,Metz,Monaco,0,1,0,3,0.626118,0.189291,1.7566,0.7678
13,13992,2020-08-30 13:00:00,Nantes,Nimes,2,1,3,0,2.15547,0.874864,2.3619,0.4629
14,13995,2020-08-30 13:00:00,Saint-Etienne,Lorient,2,0,3,0,1.39361,0.2149,2.4265,0.3547
15,13988,2020-08-30 19:00:00,Brest,Marseille,2,3,0,3,2.12594,1.32391,1.9946000000000002,0.7697
16,13989,2020-09-10 21:00:00,Lens,Paris Saint Germain,1,0,3,0,1.71747,0.344198,2.5627999999999997,0.2762
17,14191,2020-09-11 19:00:00,Bordeaux,Lyon,0,0,1,1,0.231132,1.79726,0.26139999999999997,2.5669
18,14192,2020-09-12 15:00:00,Montpellier,Nice,3,1,3,0,1.69934,0.376694,2.4123,0.3861
19,14193,2020-09-12 19:00:00,Saint-Etienne,Strasbourg,2,0,3,0,1.76107,1.30205,1.8361,0.8869
20,14194,2020-09-13 11:00:00,Lille,Metz,1,0,3,0,0.814528,0.736721,1.3336000000000001,1.2886
21,14195,2020-09-13 13:00:00,Lorient,Lens,2,3,0,3,0.919743,1.98746,0.4905,2.2647
22,14196,2020-09-13 13:00:00,Dijon,Brest,0,2,0,3,0.296281,2.19687,0.1817,2.7053
23,14197,2020-09-13 13:00:00,Angers,Reims,1,0,3,0,2.14867,0.324767,2.6885,0.19729999999999998
24,14198,2020-09-13 13:00:00,Nimes,Rennes,2,4,0,3,1.00844,2.0941,0.5914999999999999,2.2064000000000004
25,14199,2020-09-13 15:00:00,Monaco,Nantes,2,1,3,0,2.27042,1.10894,2.1481,0.6357999999999999
26,14200,2020-09-13 19:00:00,Paris Saint Germain,Marseille,0,1,0,3,2.22184,0.502817,2.6763,0.2061
27,14201,2020-09-15 19:00:00,Montpellier,Lyon,2,1,3,0,1.75168,2.17049,1.0406,1.6727
28,14202,2020-09-16 19:00:00,Paris Saint Germain,Metz,1,0,3,0,2.42357,0.980849,2.3446,0.4759
29,14203,2020-09-17 19:00:00,Marseille,Saint-Etienne,0,2,0,3,2.65376,1.02937,2.4367,0.4132
30,14204,2020-09-18 19:00:00,Lyon,Nimes,0,0,1,1,1.62529,0.714832,2.1487,0.6061
31,14205,2020-09-19 15:00:00,Lens,Bordeaux,2,1,3,0,3.02331,0.359182,2.8739999999999997,0.078
32,14206,2020-09-19 19:00:00,Rennes,Monaco,2,1,3,0,0.857476,0.816922,1.3539999999999999,1.2873999999999999
33,14207,2020-09-20 11:00:00,Nice,Paris Saint Germain,0,3,0,3,0.930504,3.32755,0.132,2.7983999999999996
34,14208,2020-09-20 13:00:00,Strasbourg,Dijon,1,0,3,0,2.38097,0.487834,2.6767,0.20800000000000002
35,14209,2020-09-20 13:00:00,Metz,Reims,2,1,3,0,1.71276,1.18244,1.8356000000000001,0.8642000000000001
36,14210,2020-09-20 13:00:00,Montpellier,Angers,4,1,3,0,1.94396,0.772287,2.2489999999999997,0.5516
37,14211,2020-09-20 13:00:00,Brest,Lorient,3,2,3,0,1.21203,1.49951,1.1121,1.6038000000000001
