,id,datetime,club_home,club_away,goal_home,goal_away,result,result_away,xG,xGA,xPoints,xPointsAway
53,19698,2022-09-04 13:00:00,Ajaccio,Lorient,0,1,0,3,0.520351,0.509049,1.2531999999999999,1.2954999999999999
54,19700,2022-09-04 13:00:00,Clermont Foot,Toulouse,2,0,3,0,1.50732,1.44839,1.4231,1.2919999999999998
55,19705,2022-09-04 13:00:00,Brest,Strasbourg,1,1,1,1,0.726914,2.65304,0.18830000000000002,2.7182
56,19706,2022-09-04 13:00:00,Reims,Lens,1,1,1,1,1.75851,2.234,1.0276999999999998,1.7254999999999998
57,19707,2022-09-04 15:05:00,Troyes,Rennes,1,1,1,1,0.564802,2.61037,0.2066,2.6876
58,19703,2022-09-04 18:45:00,Nice,Monaco,0,1,0,3,1.12895,1.16635,1.3128,1.3659
59,19661,2022-09-07 19:00:00,Lorient,Lyon,3,1,3,0,1.48762,2.29822,0.8259,1.9533
60,19714,2022-09-09 19:00:00,Lens,Troyes,1,0,3,0,1.44803,0.674373,2.0112,0.7161
61,19713,2022-09-10 15:00:00,Paris Saint Germain,Brest,1,0,3,0,2.01269,1.34439,1.8305999999999998,0.9033
62,19712,2022-09-10 19:00:00,Marseille,Lille,2,1,3,0,2.25737,0.774912,2.4983999999999997,0.348
63,19715,2022-09-11 11:00:00,Strasbourg,Clermont Foot,0,0,1,1,2.60466,0.959426,2.5732999999999997,0.29059999999999997
64,19708,2022-09-11 13:00:00,Ajaccio,Nice,0,1,0,3,0.427838,1.0495,0.7573,1.9081
65,19710,2022-09-11 13:00:00,Angers,Montpellier,2,1,3,0,2.91339,1.02641,2.632,0.253
66,19711,2022-09-11 13:00:00,Lorient,Nantes,3,2,3,0,1.30306,0.586565,1.9870999999999999,0.7262
67,19717,2022-09-11 13:00:00,Toulouse,Reims,1,0,3,0,2.111,0.461404,2.5549999999999997,0.2978
68,19716,2022-09-11 15:05:00,Rennes,Auxerre,5,0,3,0,3.73421,0.438753,2.9596000000000005,0.025
69,19709,2022-09-11 18:45:00,Monaco,Lyon,2,1,3,0,1.64905,2.28122,0.9794999999999998,1.7961
70,19718,2022-09-16 19:00:00,Auxerre,Lorient,1,3,0,3,2.27316,3.48948,0.6469,2.1727000000000003
71,19722,2022-09-17 15:00:00,Montpellier,Strasbourg,2,1,3,0,1.8232,0.617378,2.3486000000000002,0.4502
72,19721,2022-09-17 19:00:00,Lille,Toulouse,2,1,3,0,1.16749,0.882322,1.6166999999999998,1.0704
73,19727,2022-09-18 11:00:00,Reims,Monaco,0,3,0,3,0.302274,2.06526,0.25129999999999997,2.6056999999999997
74,19719,2022-09-18 13:00:00,Clermont Foot,Troyes,1,3,0,3,1.25973,1.3715,1.2531999999999999,1.4602
75,19723,2022-09-18 13:00:00,Nice,Angers,0,1,0,3,0.969061,2.07917,0.5925,2.1954000000000002
76,19725,2022-09-18 13:00:00,Marseille,Rennes,1,1,1,1,1.05864,0.858108,1.5292,1.1473
77,19726,2022-09-18 13:00:00,Brest,Ajaccio,0,1,0,3,0.721312,0.511909,1.5516,1.0379999999999998
78,19720,2022-09-18 15:05:00,Nantes,Lens,0,0,1,1,0.777656,0.967277,1.1468,1.5068
79,19724,2022-09-18 18:45:00,Lyon,Paris Saint Germain,0,1,0,3,0.892759,1.52633,0.8862000000000001,1.8579
80,19731,2022-09-30 19:00:00,Angers,Marseille,0,3,0,3,1.29217,2.3782,0.6526,2.1517
81,19735,2022-10-01 15:00:00,Strasbourg,Rennes,1,3,0,3,1.15088,2.24201,0.5942999999999999,2.1912000000000003
82,19733,2022-10-01 19:00:00,Paris Saint Germain,Nice,2,1,3,0,0.753307,0.685057,1.2810000000000001,1.3235999999999999
83,19732,2022-10-02 11:00:00,Lorient,Lille,2,1,3,0,0.51274,1.83189,0.4346,2.3663000000000003
84,19728,2022-10-02 13:00:00,Ajaccio,Clermont Foot,1,3,0,3,1.28297,1.29246,1.2993,1.3002
85,19729,2022-10-02 13:00:00,Auxerre,Brest,1,1,1,1,1.21122,0.687048,1.8849,0.7794
86,19736,2022-10-02 13:00:00,Toulouse,Montpellier,4,2,3,0,1.92662,1.73475,1.5404,1.2104000000000001
87,19737,2022-10-02 13:00:00,Troyes,Reims,2,2,1,1,1.74344,1.49046,1.5295,1.1844999999999999
88,19730,2022-10-02 15:05:00,Monaco,Nantes,4,1,3,0,2.18299,0.406108,2.6850000000000005,0.1992
89,19734,2022-10-02 18:45:00,Lens,Lyon,1,0,3,0,2.993,0.0812146,2.9421,0.031200000000000002
90,19743,2022-10-07 19:00:00,Lyon,Toulouse,1,1,1,1,1.74178,0.582894,2.2763,0.5015000000000001
91,19744,2022-10-08 15:00:00,Marseille,Ajaccio,1,2,0,3,1.66314,0.16416,2.7122,0.1661
92,19747,2022-10-08 19:00:00,Reims,Paris Saint Germain,0,0,1,1,1.91846,1.06607,2.031,0.7275
93,19741,2022-10-09 11:00:00,Montpellier,Monaco,0,2,0,3,0.564764,1.43544,0.5142,2.2422
94,19738,2022-10-09 13:00:00,Angers,Strasbourg,2,3,0,3,2.08828,2.88307,0.7762,1.9918
95,19739,2022-10-09 13:00:00,Clermont Foot,Auxerre,2,1,3,0,1.41698,1.00824,1.7047,0.9964
96,19742,2022-10-09 13:00:00,Nice,Troyes,3,2,3,0,2.69698,1.64575,2.0909,0.71
97,19745,2022-10-09 13:00:00,Brest,Lorient,1,2,0,3,0.997609,1.14106,1.2109,1.4629
98,19746,2022-10-09 15:05:00,Rennes,Nantes,3,0,3,0,2.85806,0.439769,2.8144,0.12190000000000001
99,19740,2022-10-09 18:45:00,Lille,Lens,1,0,3,0,2.37665,1.04543,2.4667999999999997,0.35419999999999996
100,19754,2022-10-14 19:00:00,Strasbourg,Lille,0,3,0,3,0.366401,2.59097,0.11420000000000001,2.8178
101,19750,2022-10-15 15:00:00,Lorient,Reims,0,0,1,1,1.05131,0.366478,2.0928,0.5976
102,19753,2022-10-15 19:00:00,Lens,Montpellier,1,0,3,0,2.31045,0.305429,2.7173000000000003,0.1757
103,19756,2022-10-16 11:00:00,Toulouse,Angers,3,2,3,0,2.46525,1.50535,2.1104,0.6827
104,19748,2022-10-16 13:00:00,Auxerre,Nice,1,1,1,1,0.527675,1.67165,0.3634,2.4478
105,19751,2022-10-16 13:00:00,Nantes,Brest,4,1,3,0,3.45666,0.596967,2.8823,0.0713
106,19755,2022-10-16 13:00:00,Rennes,Lyon,3,2,3,0,1.70448,1.54104,1.4657,1.2578
107,19757,2022-10-16 13:00:00,Troyes,Ajaccio,1,1,1,1,0.434355,1.83625,0.3104,2.5292
108,19749,2022-10-16 15:05:00,Monaco,Clermont Foot,1,1,1,1,1.00523,2.49917,0.3272,2.4989000000000003
109,19752,2022-10-16 18:45:00,Paris Saint Germain,Marseille,1,0,3,0,2.99871,0.78459,2.6361,0.25770000000000004
110,19758,2022-10-21 19:00:00,Ajaccio,Paris Saint Germain,0,3,0,3,0.301593,2.90657,0.051699999999999996,2.9122
111,19762,2022-10-22 15:00:00,Montpellier,Lyon,1,2,0,3,0.807149,2.78494,0.2573,2.6222
112,19764,2022-10-22 19:00:00,Marseille,Lens,0,1,0,3,1.99963,0.612715,2.4016,0.4189
113,19759,2022-10-23 11:00:00,Angers,Rennes,1,2,0,3,0.938402,2.44504,0.34829999999999994,2.4918
114,19760,2022-10-23 13:00:00,Clermont Foot,Brest,1,3,0,3,0.70294,2.73014,0.2173,2.683
115,19765,2022-10-23 13:00:00,Reims,Auxerre,2,1,3,0,2.48368,0.472065,2.6887,0.20350000000000001
116,19766,2022-10-23 13:00:00,Toulouse,Strasbourg,2,2,1,1,1.86579,1.63235,1.5238,1.1947
117,19767,2022-10-23 13:00:00,Troyes,Lorient,2,2,1,1,1.13911,1.538,1.0585,1.6639000000000002
