,id,datetime,club_home,club_away,goal_home,goal_away,result,result_away,xG,xGA,xPoints,xPointsAway
0,23372,2023-08-12 18:00:00,Marseille,Reims,2,1,3,0,1.5127,0.993374,1.7955,0.9138
1,23377,2023-08-12 18:00:00,Nice,Lille,1,1,1,1,1.12141,1.53437,1.006,1.7044000000000001
2,23378,2023-08-12 18:00:00,Brest,Lens,3,2,3,0,2.91934,0.960002,2.6626000000000003,0.2323
3,23379,2023-08-12 18:00:00,Paris Saint Germain,Lorient,0,0,1,1,1.36166,0.136269,2.4181,0.33909999999999996
4,23374,2023-08-13 13:00:00,Nantes,Toulouse,1,2,0,3,1.07028,2.06035,0.6139,2.1475
5,23375,2023-08-13 13:00:00,Clermont Foot,Monaco,2,4,0,3,1.97981,3.40428,0.4618,2.3752
6,23376,2023-08-13 13:00:00,Montpellier,Le Havre,2,2,1,1,1.2977,1.24958,1.3703,1.2773
7,23371,2023-08-13 15:05:00,Rennes,Metz,5,1,3,0,4.67967,0.561838,2.9768999999999997,0.013499999999999998
8,23373,2023-08-13 18:45:00,Strasbourg,Lyon,2,1,3,0,1.16184,2.05387,0.7297,2.0311
9,23388,2023-08-18 19:00:00,Metz,Marseille,2,2,1,1,0.360903,1.49349,0.4437,2.3229
10,23384,2023-08-19 15:00:00,Lyon,Montpellier,1,4,0,3,0.641589,1.91808,0.47809999999999997,2.3276
11,23380,2023-08-19 19:00:00,Toulouse,Paris Saint Germain,1,1,1,1,1.15991,2.00415,0.7102999999999999,2.0333
12,23383,2023-08-20 11:00:00,Lille,Nantes,2,0,3,0,3.239,1.27164,2.6098,0.2722
13,23381,2023-08-20 13:00:00,Lorient,Nice,1,1,1,1,0.750785,2.42649,0.33509999999999995,2.5155
14,23385,2023-08-20 13:00:00,Reims,Clermont Foot,2,0,3,0,2.41479,0.399613,2.8439999999999994,0.09570000000000001
15,23387,2023-08-20 13:00:00,Le Havre,Brest,1,2,0,3,0.866995,1.60466,0.7685,1.9865
16,23382,2023-08-20 15:05:00,Monaco,Strasbourg,3,0,3,0,1.30947,0.552621,2.0358,0.669
17,23386,2023-08-20 18:45:00,Lens,Rennes,1,1,1,1,1.3445,1.62597,1.0892,1.6205
18,23396,2023-08-25 19:00:00,Nantes,Monaco,3,3,1,1,0.906833,4.95812,0.006699999999999999,2.9875
19,23392,2023-08-26 17:00:00,Marseille,Brest,2,0,3,0,3.50896,1.72801,2.4177999999999997,0.44530000000000003
20,23389,2023-08-26 19:00:00,Paris Saint Germain,Lens,3,1,3,0,1.86713,0.487094,2.3926,0.4183
21,23391,2023-08-27 11:00:00,Rennes,Le Havre,2,2,1,1,3.49731,0.41475,2.9523999999999995,0.0298
22,23390,2023-08-27 13:00:00,Strasbourg,Toulouse,2,0,3,0,2.84995,0.308716,2.8795,0.0736
23,23395,2023-08-27 13:00:00,Clermont Foot,Metz,0,1,0,3,0.540615,0.791472,1.035,1.5828000000000002
24,23397,2023-08-27 13:00:00,Montpellier,Reims,1,3,0,3,1.42165,1.8496,1.0295999999999998,1.7090999999999998
25,23393,2023-08-27 15:05:00,Lorient,Lille,4,1,3,0,1.745,1.45127,1.6128,1.1322
26,23394,2023-08-27 18:45:00,Nice,Lyon,0,0,1,1,1.82327,0.25547,2.6183,0.2342
27,23403,2023-09-01 19:00:00,Nantes,Marseille,1,1,1,1,0.621642,2.77866,0.2157,2.682
28,23406,2023-09-02 15:00:00,Brest,Rennes,0,0,1,1,1.58468,0.248338,2.5346,0.2912
29,23399,2023-09-02 19:00:00,Monaco,Lens,3,0,3,0,1.24938,0.612432,1.9676000000000002,0.7421
30,23398,2023-09-03 11:00:00,Toulouse,Clermont Foot,2,2,1,1,0.64111,1.40431,0.6414,2.0838
31,23400,2023-09-03 13:00:00,Lille,Montpellier,1,0,3,0,1.33906,0.793407,1.7839,0.9157
32,23404,2023-09-03 13:00:00,Le Havre,Lorient,3,0,3,0,1.70033,0.675614,2.1708000000000003,0.5958
33,23405,2023-09-03 13:00:00,Metz,Reims,2,2,1,1,1.14763,0.859494,1.574,1.1054
34,23402,2023-09-03 15:05:00,Nice,Strasbourg,2,0,3,0,2.28809,0.158524,2.8106999999999998,0.10859999999999999
35,23401,2023-09-03 18:45:00,Lyon,Paris Saint Germain,1,4,0,3,2.44259,4.91949,0.2842,2.6239
36,23407,2023-09-15 19:00:00,Paris Saint Germain,Nice,2,3,0,3,1.21929,1.94985,0.8608,1.9042
37,23409,2023-09-16 15:00:00,Rennes,Lille,2,2,1,1,0.427673,1.60903,0.3849,2.4129
38,23415,2023-09-16 19:00:00,Lens,Metz,0,1,0,3,1.61194,0.629577,2.0888,0.6359
39,23411,2023-09-17 11:00:00,Lorient,Monaco,2,2,1,1,0.660724,1.54062,0.7041999999999999,2.0302
40,23408,2023-09-17 13:00:00,Strasbourg,Montpellier,2,2,1,1,2.27232,1.03603,2.3365,0.4714
41,23413,2023-09-17 13:00:00,Clermont Foot,Nantes,0,1,0,3,1.26417,0.866302,1.7317,0.9376
42,23414,2023-09-17 13:00:00,Reims,Brest,1,2,0,3,1.97443,1.56067,1.7124,1.0449
43,23410,2023-09-17 15:05:00,Marseille,Toulouse,0,0,1,1,1.16853,0.882315,1.5607,1.1293
44,23412,2023-09-17 18:45:00,Lyon,Le Havre,0,0,1,1,1.83314,1.25165,1.7876000000000003,0.9455000000000001
45,23417,2023-09-22 19:00:00,Monaco,Nice,0,1,0,3,1.80137,1.10143,2.0215,0.724
46,23420,2023-09-23 15:00:00,Nantes,Lorient,5,3,3,0,2.52906,1.59675,2.035,0.7386999999999999
47,23424,2023-09-23 19:00:00,Brest,Lyon,1,0,3,0,2.54509,0.254128,2.7892,0.127
48,23422,2023-09-24 11:00:00,Metz,Strasbourg,0,1,0,3,1.03805,0.456135,1.8912000000000002,0.7646999999999999
49,23419,2023-09-24 13:00:00,Lens,Toulouse,2,1,3,0,3.08782,0.649363,2.7456,0.1686
50,23421,2023-09-24 13:00:00,Le Havre,Clermont Foot,2,1,3,0,1.01727,0.716065,1.6346000000000003,1.0337
51,23423,2023-09-24 15:05:00,Montpellier,Rennes,0,0,1,1,1.38233,0.933593,1.7506,0.9691
52,23416,2023-09-24 18:45:00,Paris Saint Germain,Marseille,4,0,3,0,2.00222,0.568702,2.5241,0.29869999999999997
53,23418,2023-09-26 19:00:00,Lille,Reims,1,2,0,3,1.41766,1.21818,1.4738,1.2161
54,23425,2023-09-29 19:00:00,Strasbourg,Lens,0,1,0,3,0.305015,1.52229,0.3463,2.4540999999999995
55,23431,2023-09-30 15:00:00,Clermont Foot,Paris Saint Germain,0,0,1,1,1.16006,2.99118,0.3371,2.5253
56,23429,2023-09-30 19:00:00,Monaco,Marseille,3,2,3,0,1.5165,0.908767,1.9177,0.7974999999999999
57,23432,2023-10-01 11:00:00,Reims,Lyon,2,0,3,0,1.99596,0.389915,2.6149,0.25029999999999997
58,23427,2023-10-01 13:00:00,Toulouse,Metz,3,0,3,0,2.3397,0.598514,2.6264000000000003,0.24559999999999998
59,23430,2023-10-01 13:00:00,Nice,Brest,0,0,1,1,1.03293,0.153004,2.1871,0.4819
60,23433,2023-10-01 13:00:00,Le Havre,Lille,0,2,0,3,1.05835,1.38688,1.0787,1.6081999999999999
61,23428,2023-10-01 15:05:00,Lorient,Montpellier,0,3,0,3,0.799881,2.77044,0.2394,2.6541
62,23426,2023-10-01 18:45:00,Rennes,Nantes,3,1,3,0,2.3169,0.902963,2.4558000000000004,0.3798
63,23434,2023-10-06 19:00:00,Strasbourg,Nantes,1,2,0,3,0.944783,2.24185,0.4745,2.3441
64,23440,2023-10-07 15:00:00,Metz,Nice,0,1,0,3,0.263633,1.51523,0.2784,2.5521000000000003
65,23438,2023-10-07 19:00:00,Reims,Monaco,1,3,0,3,1.99785,1.74741,1.5477999999999998,1.1734
66,23436,2023-10-08 11:00:00,Marseille,Le Havre,3,0,3,0,3.00689,0.131369,2.9741,0.014599999999999998
67,23437,2023-10-08 13:00:00,Lyon,Lorient,3,3,1,1,1.3787,1.07853,1.6145,1.0535
68,23442,2023-10-08 13:00:00,Brest,Toulouse,1,1,1,1,1.61363,1.23903,1.6717,1.0402
69,23439,2023-10-08 15:05:00,Lens,Lille,1,1,1,1,2.58377,1.34285,2.2196999999999996,0.591
70,23435,2023-10-08 18:45:00,Rennes,Paris Saint Germain,1,3,0,3,1.34436,3.13091,0.4183,2.4502
71,23451,2023-10-20 19:00:00,Le Havre,Lens,0,0,1,1,1.84471,1.96292,1.281,1.4690999999999999
72,23443,2023-10-21 15:00:00,Paris Saint Germain,Strasbourg,3,0,3,0,2.51872,0.224242,2.8865999999999996,0.0672
73,23449,2023-10-21 19:00:00,Nice,Marseille,1,0,3,0,0.828728,1.00304,1.1757,1.458
74,23445,2023-10-22 11:00:00,Lorient,Rennes,2,1,3,0,0.594654,0.940774,1.0090000000000001,1.6246
75,23444,2023-10-22 13:00:00,Toulouse,Reims,1,1,1,1,0.900833,0.96583,1.2867,1.3820999999999999
76,23447,2023-10-22 13:00:00,Lille,Brest,1,0,3,0,2.19168,0.625269,2.5678,0.2911
77,23450,2023-10-22 13:00:00,Nantes,Montpellier,2,0,3,0,1.74936,0.495893,2.381,0.42380000000000007
78,23446,2023-10-22 15:05:00,Monaco,Metz,2,1,3,0,1.9731,0.720525,2.2765,0.5134000000000001
79,23448,2023-10-22 18:45:00,Lyon,Clermont Foot,1,2,0,3,1.73586,1.28994,1.6768,1.0675000000000001
80,23455,2023-10-27 19:00:00,Clermont Foot,Nice,0,1,0,3,0.298709,2.15871,0.13829999999999998,2.7702
81,23456,2023-10-28 15:00:00,Reims,Lorient,1,0,3,0,0.981549,0.412238,1.9031,0.7547
82,23457,2023-10-28 19:00:00,Lens,Nantes,4,0,3,0,4.32919,1.21849,2.8802000000000003,0.0785
83,23460,2023-10-29 12:00:00,Brest,Paris Saint Germain,2,3,0,3,1.68226,2.09847,1.0443,1.7079000000000002
84,23454,2023-10-29 14:00:00,Lille,Monaco,2,0,3,0,0.667633,0.901743,1.1104,1.5316
85,23458,2023-10-29 14:00:00,Metz,Le Havre,0,0,1,1,0.469858,0.890469,0.8926,1.7334999999999998
86,23459,2023-10-29 14:00:00,Montpellier,Toulouse,3,0,3,0,3.2823,0.877804,2.7739,0.1543
87,23452,2023-10-29 16:05:00,Rennes,Strasbourg,1,1,1,1,1.11025,1.02122,1.3800000000000001,1.3101
88,23461,2023-11-03 20:00:00,Paris Saint Germain,Montpellier,3,0,3,0,1.23178,0.583754,1.8719999999999999,0.8124
89,23465,2023-11-04 16:00:00,Lorient,Lens,0,0,1,1,0.521851,0.707799,1.1567,1.4321
90,23464,2023-11-04 20:00:00,Marseille,Lille,0,0,1,1,0.751791,0.326226,1.7810000000000001,0.8123
91,23467,2023-11-05 12:00:00,Lyon,Metz,1,1,1,1,1.8478,0.667193,2.3482,0.4513
92,23462,2023-11-05 14:00:00,Strasbourg,Clermont Foot,0,0,1,1,1.55966,1.05162,1.7527000000000001,0.9718
93,23463,2023-11-05 14:00:00,Toulouse,Le Havre,1,2,0,3,2.31734,1.21056,2.2278,0.5715
94,23469,2023-11-05 14:00:00,Nantes,Reims,0,1,0,3,1.54695,1.7428,1.1880000000000002,1.5447000000000002
95,23466,2023-11-05 16:05:00,Monaco,Brest,2,0,3,0,1.11674,0.73688,1.7019,0.9869999999999999
96,23468,2023-11-05 19:45:00,Nice,Rennes,2,0,3,0,2.28618,0.484764,2.6118000000000006,0.261
97,23477,2023-11-10 20:00:00,Montpellier,Nice,0,0,1,1,0.651349,0.62039,1.3393000000000002,1.2555999999999998
98,23473,2023-11-11 16:00:00,Reims,Paris Saint Germain,0,3,0,3,1.54396,2.64035,0.6746000000000001,2.1323
99,23475,2023-11-11 20:00:00,Le Havre,Monaco,0,0,1,1,1.12627,0.968375,1.4856000000000003,1.1244
100,23471,2023-11-12 14:00:00,Lille,Toulouse,1,1,1,1,2.6899,0.41683,2.9028,0.0495
101,23472,2023-11-12 14:00:00,Clermont Foot,Lorient,1,0,3,0,1.40549,0.58473,2.1317999999999997,0.597
102,23476,2023-11-12 14:00:00,Metz,Nantes,3,1,3,0,0.940982,1.75389,0.7867000000000001,1.9654
103,23470,2023-11-12 16:05:00,Rennes,Lyon,0,1,0,3,0.680277,2.07974,0.378,2.4459
104,23474,2023-11-12 20:45:00,Lens,Marseille,1,0,3,0,1.21972,0.723678,1.7681,0.9269000000000001
105,23479,2023-11-24 20:00:00,Paris Saint Germain,Monaco,5,2,3,0,2.61317,1.52014,2.1474,0.6546000000000001
106,23485,2023-11-25 16:00:00,Clermont Foot,Lens,0,3,0,3,1.84299,2.53223,0.9295,1.8451000000000002
107,23480,2023-11-25 20:00:00,Strasbourg,Marseille,1,1,1,1,1.18208,1.36665,1.219,1.4893
108,23484,2023-11-26 12:00:00,Nice,Toulouse,1,0,3,0,1.00133,1.27183,1.1199,1.5714
109,23482,2023-11-26 14:00:00,Lorient,Metz,2,3,0,3,1.37412,1.85366,0.9816999999999999,1.7551
110,23486,2023-11-26 14:00:00,Nantes,Le Havre,0,0,1,1,1.75264,0.225701,2.5636,0.26380000000000003
111,23487,2023-11-26 14:00:00,Montpellier,Brest,1,3,0,3,2.19901,2.38593,1.281,1.4865
112,23481,2023-11-26 16:05:00,Rennes,Reims,3,1,3,0,1.93506,2.24931,1.1811999999999998,1.5801999999999998
113,23483,2023-11-26 19:45:00,Lyon,Lille,0,2,0,3,1.71151,1.7068,1.3761,1.3662
114,23441,2023-11-29 17:00:00,Montpellier,Clermont Foot,1,1,1,1,2.5147,0.548696,2.6517,0.2271
115,23492,2023-12-01 19:00:00,Reims,Strasbourg,2,1,3,0,1.93212,1.82995,1.4284,1.3062999999999998
116,23493,2023-12-02 16:00:00,Lens,Lyon,3,2,3,0,2.66019,3.02776,1.1613,1.6121999999999999
117,23494,2023-12-02 20:00:00,Nantes,Nice,1,0,3,0,1.18224,1.2317,1.3149,1.3791000000000002
118,23495,2023-12-03 12:00:00,Le Havre,Paris Saint Germain,0,2,0,3,1.85535,1.76208,1.4094999999999998,1.3338999999999999
119,23488,2023-12-03 14:00:00,Toulouse,Lorient,1,1,1,1,1.10351,0.645774,1.7993,0.8795
120,23490,2023-12-03 14:00:00,Monaco,Montpellier,2,0,3,0,2.46013,1.18556,2.2670999999999997,0.5406
121,23496,2023-12-03 14:00:00,Brest,Clermont Foot,3,0,3,0,1.30229,0.605084,2.0593,0.6568
122,23491,2023-12-03 16:05:00,Lille,Metz,2,0,3,0,3.04386,1.85842,2.2384999999999997,0.5486
123,23489,2023-12-03 19:45:00,Marseille,Rennes,2,0,3,0,0.91395,0.483795,1.9194000000000002,0.7362
124,23453,2023-12-06 19:00:00,Marseille,Lyon,3,0,3,0,1.82709,0.235651,2.6175,0.2286
125,23478,2023-12-07 19:30:00,Brest,Strasbourg,1,1,1,1,0.993441,1.26839,1.0804999999999998,1.6169
126,23505,2023-12-08 20:00:00,Montpellier,Lens,0,0,1,1,1.34889,1.61301,1.1419,1.5913
127,23499,2023-12-09 16:00:00,Rennes,Monaco,1,2,0,3,2.14616,1.09728,2.1962,0.6002000000000001
128,23497,2023-12-09 20:00:00,Paris Saint Germain,Nantes,2,1,3,0,2.15633,0.483837,2.6093999999999995,0.2562
129,23502,2023-12-10 12:00:00,Nice,Reims,2,1,3,0,1.2751,1.13313,1.4483000000000001,1.2398
130,23498,2023-12-10 14:00:00,Strasbourg,Le Havre,2,1,3,0,1.50877,1.62211,1.2681,1.4436
131,23503,2023-12-10 14:00:00,Clermont Foot,Lille,0,0,1,1,1.1121,0.635418,1.7867,0.8924000000000001
132,23504,2023-12-10 14:00:00,Metz,Brest,0,1,0,3,0.632144,0.219846,1.8199,0.7372000000000001
133,23501,2023-12-10 16:05:00,Lyon,Toulouse,3,0,3,0,3.13849,1.6021,2.4564000000000004,0.3903
134,23500,2023-12-10 19:45:00,Lorient,Marseille,2,4,0,3,2.01809,2.88724,0.8480999999999999,1.9497
135,23509,2023-12-15 20:00:00,Monaco,Lyon,0,1,0,3,1.40268,0.739288,1.9130999999999998,0.7988999999999999
136,23513,2023-12-16 16:00:00,Le Havre,Nice,3,1,3,0,1.92557,1.64135,1.6128,1.0788
