Name,Club,Positions,Weight
Mike MAIGNAN,AC MILAN,GK,1.0
Lucas CHEVALIER,LOSC LILLE,GK,0.5
Brice SAMBA,RC LENS,GK,0.5
Jonathan CLAUSS,OGC NICE,ARG|ARD|DCG|DCD,0.5
Lucas DIGNE,ASTON VILLA FC,ARG|ARD|DCG|DCD,1.0
Wesley FOFANA,CHELSEA FC,ARG|ARD|DCG|DCD,1.0
Théo HERNANDEZ,AC MILAN,ARG|ARD|DCG|DCD,1.0
Ibrahima KONATE,LIVERPOOL FC,ARG|ARD|DCG|DCD,1.0
Jules KOUNDE,FC BARCELONE,ARG|ARD|DCG|DCD,1.0
William SALIBA,ARSENAL FC,ARG|ARD|DCG|DCD,1.0
Dayot UPAMECANO,FC BAYERN MUNICH,ARG|ARD|DCG|DCD,1.0
Eduardo CAMAVINGA,REAL MADRID CF,MDEF|M8|M10|MG|MD,1.0
Matteo GUENDOUZI,SS LAZIO,MDEF|M8|M10|MG|MD,1.0
N’Golo KANTE,AL ITTIHAD CLUB,MDEF|M8|M10|MG|MD,1.0
Manu KONE,AS ROMA,MDEF|M8|M10|MG|MD,1.0
Adrien RABIOT,OLYMPIQUE DE MARSEILLE,MDEF|M8|M10|MG|MD,0.5
Warren ZAIRE-EMERY,PARIS-SG,MDEF|M8|M10|MG|MD,0.4
Bradley BARCOLA,PARIS SG,ATTD,0.5
Ousmane DEMBELE,PARIS SG,ATTD,0.5
Randal KOLO MUANI,PARIS SG,ATTD,0.5
Christopher NKUNKU,CHELSEA FC,ATTD,1.0
Michael OLISE,FC BAYERN MUNICH,ATTD,1.0
Marcus THURAM,INTER MILAN,ATTD,1.0
